run,tag,step,wall_time,value
convnext_tiny_20260602-0858_v1,train/loss,10,1780386334.8688638,2.0849993228912354
convnext_tiny_20260602-0858_v1,train/loss,11,1780386589.5336561,2.08237361907959
convnext_tiny_20260602-0858_v1,train/loss,12,1780386841.8332326,2.025266408920288
convnext_tiny_20260602-0858_v1,train/loss,13,1780387096.0417042,2.0195376873016357
convnext_tiny_20260602-0858_v1,train/loss,14,1780387350.2781708,2.0138537883758545
convnext_tiny_20260602-0858_v1,train/loss,15,1780387602.9751158,2.0128579139709473
convnext_tiny_20260602-0858_v1,train/loss,16,1780387857.097713,2.015690565109253
convnext_tiny_20260602-0858_v1,train/loss,17,1780388109.0843253,2.011124610900879
convnext_tiny_20260602-0858_v1,train/loss,18,1780388363.2037227,2.0064499378204346
convnext_tiny_20260602-0858_v1,train/loss,19,1780388616.172774,2.004669427871704
convnext_tiny_20260602-0858_v1,train/loss,20,1780388868.7191596,2.0067529678344727
convnext_tiny_20260602-0858_v1,train/loss,21,1780389122.1049907,2.0060055255889893
convnext_tiny_20260602-0858_v1,train/loss,22,1780389375.5727608,2.0051400661468506
convnext_tiny_20260602-0858_v1,train/loss,23,1780389627.774819,2.0043063163757324
convnext_tiny_20260602-0858_v1,train/loss,24,1780389883.598976,1.9993371963500977
convnext_tiny_20260602-0858_v1,train/loss,25,1780390136.8168602,2.000170946121216
convnext_tiny_20260602-0858_v1,train/loss,26,1780390389.8386364,2.0038516521453857
convnext_tiny_20260602-0858_v1,train/loss,27,1780390643.4080179,1.9895720481872559
convnext_tiny_20260602-0858_v1,train/loss,29,1780393183.9430337,1.9884264469146729
convnext_tiny_20260602-0858_v1,train/samples,0,1780383810.047279,64438.0
convnext_tiny_20260602-0858_v1,train/samples,1,1780384064.325085,64438.0
convnext_tiny_20260602-0858_v1,train/samples,2,1780384316.5916603,64438.0
convnext_tiny_20260602-0858_v1,train/samples,3,1780384570.2645311,64438.0
convnext_tiny_20260602-0858_v1,train/samples,4,1780384821.780167,64438.0
convnext_tiny_20260602-0858_v1,train/samples,5,1780385073.1386113,64438.0
convnext_tiny_20260602-0858_v1,train/samples,6,1780385323.9275827,64438.0
convnext_tiny_20260602-0858_v1,train/samples,7,1780385576.9581013,64438.0
convnext_tiny_20260602-0858_v1,train/samples,8,1780385827.67303,64438.0
convnext_tiny_20260602-0858_v1,train/samples,9,1780386080.6480246,64438.0
convnext_tiny_20260602-0858_v1,train/samples,10,1780386334.868956,64438.0
convnext_tiny_20260602-0858_v1,train/samples,11,1780386589.5337546,64438.0
convnext_tiny_20260602-0858_v1,train/samples,12,1780386841.8333557,64438.0
convnext_tiny_20260602-0858_v1,train/samples,13,1780387096.0418534,64438.0
convnext_tiny_20260602-0858_v1,train/samples,14,1780387350.278271,64438.0
convnext_tiny_20260602-0858_v1,train/samples,15,1780387602.9752226,64438.0
convnext_tiny_20260602-0858_v1,train/samples,16,1780387857.0978022,64438.0
convnext_tiny_20260602-0858_v1,train/samples,17,1780388109.0844219,64438.0
convnext_tiny_20260602-0858_v1,train/samples,18,1780388363.203824,64438.0
convnext_tiny_20260602-0858_v1,train/samples,19,1780388616.1728647,64438.0
convnext_tiny_20260602-0858_v1,train/samples,20,1780388868.7192507,64438.0
convnext_tiny_20260602-0858_v1,train/samples,21,1780389122.1051145,64438.0
convnext_tiny_20260602-0858_v1,train/samples,22,1780389375.5728538,64438.0
convnext_tiny_20260602-0858_v1,train/samples,23,1780389627.774906,64438.0
convnext_tiny_20260602-0858_v1,train/samples,24,1780389883.5990646,64438.0
convnext_tiny_20260602-0858_v1,train/samples,25,1780390136.8169537,64438.0
convnext_tiny_20260602-0858_v1,train/samples,26,1780390389.838725,64438.0
convnext_tiny_20260602-0858_v1,train/samples,27,1780390643.4081113,64438.0
convnext_tiny_20260602-0858_v1,train/samples,29,1780393183.9431515,64438.0
convnext_tiny_20260602-0858_v1,train/top1,0,1780383810.0472271,0.5169464945793152
convnext_tiny_20260602-0858_v1,train/top1,1,1780384064.3250496,0.5984202027320862
convnext_tiny_20260602-0858_v1,train/top1,2,1780384316.5916293,0.6131009459495544
convnext_tiny_20260602-0858_v1,train/top1,3,1780384570.2644863,0.6206741333007812
convnext_tiny_20260602-0858_v1,train/top1,4,1780384821.7801204,0.6248331665992737
convnext_tiny_20260602-0858_v1,train/top1,5,1780385073.1385787,0.6268971562385559
convnext_tiny_20260602-0858_v1,train/top1,6,1780385323.9275339,0.630450963973999
convnext_tiny_20260602-0858_v1,train/top1,7,1780385576.95807,0.629737138748169
convnext_tiny_20260602-0858_v1,train/top1,8,1780385827.672998,0.6327788233757019
convnext_tiny_20260602-0858_v1,train/top1,9,1780386080.6479938,0.6326236128807068
convnext_tiny_20260602-0858_v1,train/top1,10,1780386334.8689253,0.6349514126777649
convnext_tiny_20260602-0858_v1,train/top1,11,1780386589.5337145,0.6346410512924194
convnext_tiny_20260602-0858_v1,train/top1,12,1780386841.8333218,0.6529066562652588
convnext_tiny_20260602-0858_v1,train/top1,13,1780387096.0418031,0.6535118818283081
